"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.220934651E2,4.132343736E1,1.976061809E1,1.104795685E2,1.509056146E2,9.955425944E-2,NaN,3.628193193E-2,2.082289877E0,1.701934740E1,-1.000000000E0
1.230943133E2,4.132343735E1,1.976061810E1,1.105998273E2,1.510258734E2,4.463804738E-2,NaN,3.628439508E-2,2.082314146E0,1.712209758E1,-1.000000000E0
1.240985789E2,4.132343735E1,1.976061812E1,1.103889079E2,1.508149541E2,3.377026455E-2,NaN,3.628582108E-2,2.082338454E0,1.713754374E1,-1.000000000E0
1.250931823E2,4.132343735E1,1.976061814E1,1.103304099E2,1.507564562E2,5.396380901E-2,NaN,3.628800673E-2,2.082217270E0,1.685718877E1,-1.000000000E0
1.260940331E2,4.132343735E1,1.976061811E1,1.108508213E2,1.512768675E2,1.061874775E-1,NaN,3.629134658E-2,2.082241464E0,1.690166298E1,-1.000000000E0
1.270930859E2,4.132343738E1,1.976061810E1,1.107296164E2,1.511556626E2,9.751850757E-2,NaN,3.629315342E-2,2.082265640E0,1.674307528E1,-1.000000000E0
1.280980301E2,4.132343740E1,1.976061809E1,1.107151660E2,1.511412122E2,7.972147144E-2,NaN,3.629635990E-2,2.082175954E0,1.643460366E1,-1.000000000E0
1.290940850E2,4.132343737E1,1.976061811E1,1.105713496E2,1.509973959E2,6.273244157E-2,NaN,3.629766418E-2,2.082199875E0,1.651448525E1,-1.000000000E0
1.300935305E2,4.132343736E1,1.976061810E1,1.106517827E2,1.510778288E2,6.632870266E-2,NaN,3.630076041E-2,2.082075615E0,1.625847578E1,-1.000000000E0
1.310934470E2,4.132343733E1,1.976061809E1,1.107602725E2,1.511863185E2,4.930850609E-2,NaN,3.630323433E-2,2.081863766E0,1.592888605E1,-1.000000000E0
1.320933499E2,4.132343736E1,1.976061810E1,1.105746819E2,1.510007281E2,4.213577592E-2,NaN,3.630556450E-2,2.081872114E0,1.600828174E1,-1.000000000E0
1.330936240E2,4.132343736E1,1.976061812E1,1.104234757E2,1.508495220E2,4.814870738E-2,NaN,3.630914755E-2,2.081630651E0,1.560739579E1,-1.000000000E0
1.340798596E2,4.132343739E1,1.976061814E1,1.107267580E2,1.511528045E2,5.865470874E-2,NaN,3.631270160E-2,2.081609402E0,1.581305607E1,-1.000000000E0
1.350798719E2,4.132343742E1,1.976061811E1,1.107676824E2,1.511937289E2,9.789625166E-2,NaN,3.633144436E-2,2.081407843E0,1.564554829E1,-1.000000000E0
1.360798672E2,4.132343738E1,1.976061833E1,1.110331555E2,1.514592030E2,7.152988645E-2,NaN,3.633710954E-2,2.070190679E0,1.563896092E1,-1.000000000E0
1.370798851E2,4.132343740E1,1.976061839E1,1.111505756E2,1.515766235E2,8.375593227E-2,NaN,3.633829939E-2,2.070110860E0,1.560596142E1,-1.000000000E0
1.380799012E2,4.132343741E1,1.976061839E1,1.112723928E2,1.516984408E2,8.461984633E-2,NaN,3.634165768E-2,2.069878570E0,1.532314629E1,-1.000000000E0
1.390798980E2,4.132343744E1,1.976061839E1,1.111618461E2,1.515878942E2,3.579055535E-2,NaN,3.634620791E-2,2.069903524E0,1.492588271E1,-1.000000000E0
1.400799135E2,4.132343748E1,1.976061841E1,1.112556186E2,1.516816670E2,4.329300318E-2,NaN,3.634847594E-2,2.069833907E0,1.495408261E1,-1.000000000E0
1.410799248E2,4.132343750E1,1.976061841E1,1.111690723E2,1.515951207E2,1.009783456E-2,NaN,3.636891725E-2,2.069681216E0,1.488795961E1,-1.000000000E0
1.420799171E2,4.132343765E1,1.976061855E1,1.110045211E2,1.514305709E2,4.000750242E-2,NaN,3.639050024E-2,2.063139869E0,1.486344617E1,-1.000000000E0
1.430799304E2,4.132343780E1,1.976061871E1,1.111011937E2,1.515272450E2,3.363249625E-2,NaN,3.639243863E-2,2.056746997E0,1.507236993E1,-1.000000000E0
1.440799400E2,4.132343782E1,1.976061870E1,1.110654261E2,1.514914774E2,1.468297074E-2,NaN,3.639544951E-2,2.056772400E0,1.506816276E1,-1.000000000E0
1.450799302E2,4.132343785E1,1.976061869E1,1.110988816E2,1.515249330E2,5.425249244E-3,NaN,3.641097161E-2,2.056797606E0,1.511552178E1,-1.000000000E0
1.460799384E2,4.132343777E1,1.976061884E1,1.112741147E2,1.517001666E2,5.298684411E-2,NaN,3.642442089E-2,2.045932009E0,1.526126270E1,-1.000000000E0
1.470799476E2,4.132343789E1,1.976061887E1,1.115811760E2,1.520072285E2,1.034074021E-1,NaN,3.642915632E-2,2.040112857E0,1.598129380E1,-1.000000000E0
1.480799390E2,4.132343785E1,1.976061885E1,1.118575747E2,1.522836269E2,1.182992142E-1,NaN,3.643690306E-2,2.039983226E0,1.590748762E1,-1.000000000E0
1.490799328E2,4.132343780E1,1.976061878E1,1.118148424E2,1.522408941E2,6.697216101E-2,NaN,3.643903899E-2,2.039670662E0,1.568106310E1,-1.000000000E0
1.500799254E2,4.132343779E1,1.976061880E1,1.117868878E2,1.522129396E2,5.943095446E-2,NaN,3.644134843E-2,2.039696048E0,1.575750577E1,-1.000000000E0
1.510799191E2,4.132343778E1,1.976061882E1,1.113970753E2,1.518231272E2,3.798394700E-2,NaN,3.644599574E-2,2.039569180E0,1.553543118E1,-1.000000000E0
