"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.096399417E0,2.957534027E1,-1.566602325E1,3.942643738E1,5.171623537E1
3.106331417E0,2.962106323E1,-1.584819794E1,3.949613190E1,5.185091320E1
3.116262417E0,2.935784912E1,-1.581503296E1,3.928563690E1,5.153018377E1
3.126194417E0,2.964072418E1,-1.580625916E1,3.961472321E1,5.193974060E1
3.136126417E0,2.951274109E1,-1.563938141E1,3.983885193E1,5.198775106E1
3.146058417E0,2.987165833E1,-1.564062500E1,3.962526321E1,5.202986264E1
3.155989417E0,2.958283997E1,-1.546379852E1,3.933527374E1,5.159008864E1
3.165921417E0,2.955588531E1,-1.581060791E1,3.959194183E1,5.187530759E1
3.175853417E0,2.954933167E1,-1.526902771E1,3.961573792E1,5.172729357E1
3.185784417E0,2.979586029E1,-1.542024231E1,3.983045197E1,5.207727016E1
3.195716417E0,2.944593048E1,-1.567419434E1,3.936996078E1,5.160171511E1
3.205648417E0,2.944380951E1,-1.548907471E1,3.925063324E1,5.145348932E1
3.215579417E0,2.927931213E1,-1.540371704E1,3.915032959E1,5.125720364E1
3.225511417E0,2.935214233E1,-1.535401917E1,3.865172577E1,5.090432270E1
3.235443417E0,2.865752411E1,-1.553723145E1,3.771394348E1,4.984978217E1
3.245374417E0,2.801155090E1,-1.535772705E1,3.733408356E1,4.913593959E1
3.255306417E0,2.722375488E1,-1.528925323E1,3.613291931E1,4.775439197E1
3.265238417E0,2.692867279E1,-1.497927094E1,3.507012177E1,4.668453081E1
3.275169417E0,2.571272278E1,-1.497957611E1,3.367654419E1,4.494042102E1
