"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.359613000E0,1.208312225E1,3.116593552E1,-2.098968506E1,3.947004255E1
2.369543000E0,1.206342316E1,3.085835266E1,-2.070978546E1,3.907248803E1
2.379473000E0,1.233850861E1,3.111502457E1,-2.076586914E1,3.939041596E1
2.389404000E0,1.215647888E1,3.081584167E1,-2.115992737E1,3.930825108E1
2.399334000E0,1.200833893E1,3.095239639E1,-2.122004700E1,3.940230248E1
2.409264000E0,1.228467560E1,3.093941879E1,-2.083567810E1,3.927195401E1
2.419194000E0,1.212078857E1,3.090290070E1,-2.089435577E1,3.922342273E1
2.429125000E0,1.214418030E1,3.074635315E1,-2.089490509E1,3.910775378E1
2.439055000E0,1.217301941E1,3.079222870E1,-2.100975037E1,3.921419845E1
2.448985000E0,1.239074707E1,3.082300186E1,-2.095746613E1,3.927853667E1
2.458915000E0,1.241933441E1,3.081576538E1,-2.089212036E1,3.924706303E1
2.468846000E0,1.234902954E1,3.096550369E1,-2.091664124E1,3.935564547E1
2.478776000E0,1.190438080E1,3.082851028E1,-2.106033325E1,3.918735721E1
2.488706000E0,1.193690491E1,3.086331177E1,-2.138019562E1,3.939729022E1
2.498636000E0,1.182114410E1,3.104077911E1,-2.113771820E1,3.937096070E1
2.508567000E0,1.202755737E1,3.087657166E1,-2.096590424E1,3.921216589E1
2.518497000E0,1.215042877E1,3.107778168E1,-2.113537598E1,3.949893101E1
2.528427000E0,1.230467987E1,3.105993271E1,-2.100215149E1,3.946156274E1
2.538357000E0,1.202266693E1,3.120246124E1,-2.090812683E1,3.943713828E1
2.548288000E0,1.243272400E1,3.113964081E1,-2.110124969E1,3.961707453E1
2.558218000E0,1.209193420E1,3.117546844E1,-2.100617218E1,3.948903614E1
2.568148000E0,1.219966125E1,3.099438477E1,-2.115695190E1,3.946010942E1
2.578078000E0,1.214228821E1,3.107508087E1,-2.129570007E1,3.958033168E1
